num_id,id,Duplicate,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS,ALightcurveNo,PARatZeroAnet,der_atPAR,Asat_ALight,ALightIntercept,der_atIntercept,der_atPARend,PhiPSIIsat_ALight,PhiPSIILightIntercep,der_atIntercept,der_atPhiPSIIend
54,besc-25.csv,Unique,16.39,286,61.86,8.733766234,96.911524,2.581929,1.03321,0,2.868931,1.048129,0.896552,0.419227,1.101975,0.496731,1,47.913024,0.052574,9.492422,-2.861263,0.067393,0.000072,-0.125284,0.764016,-0.000689,-0.000272
55,besc-250.csv,Unique,9.695,236,40,3.165584416,54.761667,2.503782,0,2.175856,0,0.966674,0.962581,0.339471,0.73746,9.88139,1,51.126299,0.052605,11.52498,-2.744747,0.05372,0.00004,-0.096272,0.740873,-0.000849,-0.000251
56,besc-259.csv,Unique,9.595,220,102.13,6.168831169,34.603681,1.558546,4.060538,0,0,0.880291,0.948005,0.323892,1.797323,0.995473,1,34.99824,0.04252,7.628688,-1.635466,0.051179,0.000054,0.061848,0.713104,-0.001475,-0.000097
57,besc-26.csv,Unique,15.87,305,54.6,8.398268398,172.179966,0.313689,1.657752,0,1.036645,1.086436,0.1,0.291844,1.689491,0.000001,1,13.102928,0.054104,9.274785,-0.735267,0.058169,0.000042,0.45587,5.818641,-2.474055,0
58,besc-264.csv,Unique,10.53,230.5,149.26,3.831168831,12.503225,0.430531,0,0,0,0.950146,0.936651,0.272272,0.62528,0.000071,1,13.208008,0.046693,2.736561,-0.690235,0.058234,0,0.217723,6.817653,-3.714766,0
59,besc-265.csv,Unique,11.65,160,67.48,5.108225108,29.566372,1.598308,0.243743,2.566729,0,0.892443,0.983225,0.282624,0.525458,6.345141,1,43.382181,0.042856,6.859902,-2.121157,0.055415,0.000025,0.370512,5.975984,-3.290349,0
60,besc-268.csv,Unique,10.79,157,46.14,3.246753247,52.222576,0.857852,2.543011,0,1.816029,0.953983,0.929422,0.353544,0.841708,1.685958,1,19.66388,0.049681,7.992781,-1.036151,0.055812,0.000026,0.405336,4.070049,-1.486662,0
61,besc-269.csv,Unique,12.065,257,87.58,5.735930736,57.991202,1.655292,1.911471,0,0.126426,0.996914,0.969819,0.334003,8.445104,4.643697,1,37.386555,0.057545,12.462584,-2.155433,0.056987,0.000024,0.456801,2.414841,-0.839311,0
62,besc-271.csv,Unique,10.915,249,51.88,5.952380952,67.479451,1.445482,0.958277,0,0.873722,1.03552,0.84296,0.340385,1.555682,0.092738,1,31.879762,0.055121,10.769168,-1.898617,0.064186,0.000113,0.451593,5.38695,-2.189168,0
63,besc-272.csv,Unique,12.365,264,87.22,5.064935065,139.482208,3.080954,3.396778,0,1.11649,1.062369,0.170313,0.304716,1.899297,0.000119,1,73.257471,0.038215,6.43686,-3.470762,0.057754,0.000041,0.440621,9.166326,-4.848298,0
